29 Jun 2017 4:36pm    Page 1
Life Pharmacy Howick Village

Stock take and valuation report (excluding GST)

Listing: 0-Z; Stock Point: Dispensary; Stocked; Not used in last 90 days; Not purchased for 120 days; Hospital meds: Include;
Total Value: $2325.36

PCode, Product,Locn.,Pack, Manf,SO,Stock, Adj.,Price,Value
201960 ,FUNGILIN 10mg Lozenges,FM,20, HCLO,,46,   ____,6.45,14.84
494275 ,GAVISCON Infant Sachets,,30, RECK,,2P,   ____,5.84,11.68
2215241 ,GAVISCON Double Strength Tablets,,60, RECK,,30,   ____,9.46,4.73
2341018 ,GLYCEROL HEALTHE BP Liquid,,2000, JAYC,,1572,   ____,19.72,15.50
423351 ,GOLD KNIGHT Choc Condom,,12, JACK,,1P,   ____,1.22,1.22
2381389 ,HABITROL 7mg/24hr Patches,,28, NOCH,,2P,   ____,11.63,23.26
2385341 ,HABITROL 4mg Classic Gum,,384, NOCH,,1P,   ____,28.24,28.24
2011050 ,HUMALOG MIX 25 100iu/ml 3ml Cartr.,,5, ELIL,,1P,   ____,46.93,46.93
2339765 ,HYDROCORTISONE 1% Pharmacy Health Cream,,100, APIC,,4P,   ____,4.13,16.52
29 Jun 2017 4:36pm    Page 2
Life Pharmacy Howick Village

Stock take and valuation report (excluding GST)

PCode, Product,Locn.,Pack, Manf,SO,Stock, Adj.,Price,Value
2343614 ,ITCH-SOOTHE 10% Cream,,20, AFTP,,3P,   ____,3.71,11.13
790753 ,KLEAN PREP  Sachets,,4, PROP,,2P,   ____,15.81,31.62
777579 ,LIGNOCAINE 2% Gel,,20, ORIB,,4P,   ____,10.36,41.44
2424878 ,LISINOPRIL ARROW 20mg Tablets,,90, ACTA,,60,   ____,3.04,2.03
210382 ,LOCOID 0.1% Ointment,SM,100, CSLN,,2P,   ____,7.54,15.08
2143054 ,MAGNESIUM CARB. Light BP Powder,,250, MIWE,,200,   ____,29.57,23.66
2350009 ,MAGNISIUM Home Essentials Paste BPC,,80, APIC,,1P,   ____,6.79,6.79
2016370 ,MALARONE  Tablets,,12, GLSK,,1,   ____,70.66,5.89
681776 ,MEDROL 100mg Tablets,,20, PFIZ,,4,   ____,198.00,39.60
2207818 ,MELATONIN 2mg SR Capsules,,60, WLDW,,30,   ____,18.60,9.30
2039095 ,MICROLAX 5 ml Enemas,,4, PHAU,,3P,   ____,5.69,17.07
211044 ,MYCOSTATIN  Cream,SM,15, HCLO,,1P,   ____,8.69,8.69
2380374 ,NALTRACCORD 50mg Tablets,,30, ACTA,,1P,   ____,144.10,144.10
767336 ,NAPROSYN 1000mg SR Tablets,SM,90, HCLO,,1P,   ____,23.10,23.10
767301 ,NAPROSYN 750mg SR Tablets,SM,90, HCLO,,70,   ____,19.80,15.40
207608 ,NERISONE 0.1% Cream,FM,50, CSLN,,1P,   ____,17.45,17.45
207624 ,NERISONE Fatty 0.1% Ointment,SM,50, CSLN,,1P,   ____,17.45,17.45
254908 ,NILSTAT Vag. Cream,,75, SIGM,,2P,   ____,4.89,9.78
269689 ,NITRADOS 5mg Tablets,FM,100, DOUG,,40,   ____,5.74,2.30
2452723 ,OXYCODONE BNM 40mg CR Tablets,,20, BNMG,,1P,   ____,20.35,20.35
2179776 ,OXYNORM 20mg Capsules,,20, PHAC,,30,   ____,7.52,11.28
2450887 ,PANTOPRAZOLE ACTAVIS 20mg EC Tablets,,100, ACTA,,180,   ____,2.65,4.77
2450895 ,PANTOPRAZOLE ACTAVIS 40mg EC Tablets,,100, ACTA,,64,   ____,3.68,2.36
2029227 ,PENICILLIN V 250mg/5ml Syrup,,100, AFTP,,1P,   ____,1.74,1.74
259942 ,PETHIDINE 50mg Tablets,,10, PSM,,4,   ____,4.91,1.96
433381 ,PICOPREP  Sachets,,2, PROP,,3P,   ____,16.01,48.03
474134 ,PREMIA 2.5 CONTIN 0.625mg+2.5mg Tablets,,28, PFIZ,,2P,   ____,25.25,50.50
208396 ,PROCTOSEDYL  Supp.,SM,12, SANS,,1P,   ____,10.89,10.89
2291886 ,PURIFIED WATER  Solution,,2000, BIOM,,1P,   ____,11.09,11.09
2252880 ,QUETAPEL 100mg Tablets,,90, MYLN,,124,   ____,4.62,6.37
2023873 ,QVAR  50 50mcg/dose Inhaler,,200, 3MRI,,1P,   ____,10.23,10.23
204498 ,RIVOTRIL 2.5mg/ml Oral Drops,,10, ROPR,,2P,   ____,8.12,16.24
2026236 ,ROZEX 0.75% Cream,,30, MYLN,,1P,   ____,26.28,26.28
2116782 ,RUBIFEN 20mg SR Tablets,,30, AFTP,,81,   ____,12.04,32.51
251615 ,SALAZOPYRIN 500mg Tablets,,100, PFIZ,,56,   ____,15.40,8.62
386847 ,SEBIZOLE 1% Shampoo,,200, DOUG,,3P,   ____,11.90,35.70
2220482 ,SITERONE 50mg Tablets,,50, REXM,,12,   ____,20.68,4.96
2133024 ,SOLIAN 100mg Tablets,,30, SANS,,18,   ____,5.02,3.01
2087057 ,STROMECTOL 3mg Tablets,,4, MERC,,2,   ____,18.92,9.46
2172011 ,SUSTANON 250mg-1ml Amps,,1, ASPN,,1P,   ____,14.28,14.28
724882 ,TAMBOCOR 50mg Tablets,,60, VALT,,40,   ____,42.84,28.56
503649 ,TEGRETOL 100mg/5ml Syrup,,250, NOVA,,25,   ____,29.01,2.90
318094 ,TILADE 2mg CFC free Inhaler,,112, SANS,,1P,   ____,30.88,30.88
437212 ,TOPAMAX 15mg Sprinkle Capsules,,60, JANC,,105,   ____,22.92,40.11
471003 ,TOPAMAX 100mg Tablets,,60, JANC,,4,   ____,82.77,5.52
2465841 ,TOPIRAMATE ACTAVIS 100mg Tablets,,60, ACTA,,4,   ____,35.19,2.35
2190435 ,TRAMAL 100mg/ml Oral drops,,10, CSLN,,1P,   ____,10.52,10.52
2479451 ,VEXAZONE 45mg Tablets,,90, MYLN,,272,   ____,7.81,23.60
2472856 ,VIRGAN 0.15% Eye gel,,5, LINK,,8P,   ____,41.28,330.24
2179903 ,VISTIL 1.4% Eye drops,,15, AFTP,,1P,   ____,2.88,2.88
2183315 ,YASMIN 3mg Tablets,,84, SCHE,,196,   ____,50.23,117.20
2403439 ,ZARATOR 80mg Tablets,,90, PFZC,,127,   ____,7.15,10.09
2438232 ,ZAROXOLYN 5mg Tablets,,50, ONEL,,5,   ____,33.00,3.30
