29 Jun 2017 1:03pm    Page 1
Life Pharmacy Takapuna

Stock take and valuation report (excluding GST)

Listing: 0-Z; Stock Point: Dispensary; Stocked; Not used in last 180 days; Hospital meds: Include;
Total Value: $2719.40

PCode, Product,Locn.,Pack, Manf,SO,Stock, Adj.,Price,Value
2146746 ,LANTUS 100iu/ml 10ml Vials,,1, SANS,,1P,   ____,69.30,69.30
472735 ,LOSEC 10mg Capsules,,30, ASZE,,6P,   ____,7.44,44.64
2016370 ,MALARONE  Tablets,,12, GLSK,,2,   ____,70.66,11.78
719803 ,MICROLUT 30mcg Tablets,,84, SCHE,,2P,   ____,18.15,36.30
472212 ,MINO TABS 50mg Tablets,,60, PROP,,50,   ____,13.25,11.04
2364433 ,MODURETIC  Tablets,,50, ASPN,,20,   ____,5.50,2.20
29 Jun 2017 1:03pm    Page 2
Life Pharmacy Takapuna

Stock take and valuation report (excluding GST)

PCode, Product,Locn.,Pack, Manf,SO,Stock, Adj.,Price,Value
2041529 ,MYLANTA Double Liquid,,500, PFZC,,1P,   ____,9.24,9.24
455598 ,NEORAL 100mg Capsules,,50, NOVA,,2P,   ____,195.59,391.18
2105101 ,NOVORAPID 100iu/ml 10ml Vials,,1, NOVO,,2P,   ____,33.03,66.06
2377241 ,ORA-SWEET  Suspension,,473, MIWE,,1P,   ____,35.75,35.75
767476 ,OVESTIN 2mg Tablets,,30, PHAC,,3P,   ____,7.70,23.10
2452731 ,OXYCODONE BNM 80mg CR Tablets,,20, BNMG,,6,   ____,37.40,11.22
2452715 ,OXYCODONE BNM 20mg CR Tablets,,20, BNMG,,51,   ____,12.65,32.26
2194767 ,OXYCONTIN 5mg CR Tablets,,20, PHAC,,1P,   ____,8.26,8.26
2179776 ,OXYNORM 20mg Capsules,,20, PHAC,,18,   ____,7.52,6.77
433748 ,PENICILLIN G SODIUM 600mg Inj,,10, NOVA,,5,   ____,11.38,5.69
2029219 ,PENICILLIN V 125mg/5ml Syrup,,100, AFTP,,1P,   ____,1.63,1.63
2181827 ,"POLY-GEL 0.3%, 0.5g Eye Gel",,30, ALCO,,1P,   ____,9.08,9.08
2023873 ,QVAR  50 50mcg/dose Inhaler,,200, 3MRI,,1P,   ____,10.23,10.23
2026236 ,ROZEX 0.75% Cream,,30, MYLN,,2P,   ____,26.28,52.56
267201 ,SENOKOT  Tablets,,100, RECK,,20,   ____,7.52,1.50
2143046 ,SERENACE 1.5mg Tablets,,100, PROP,,66,   ____,10.37,6.84
2120216 ,SERETIDE 100/50 Accuhaler,,60, GLSK,,2P,   ____,37.11,74.22
2316692 ,SIMVA ARROW 80mg Tablets,,90, ACTA,,1P,   ____,8.70,8.70
478490 ,SINGULAIR 10mg Tablets,,28, MERC,,1P,   ____,20.33,20.33
2220482 ,SITERONE 50mg Tablets,,50, REXM,,40,   ____,20.68,16.54
254894 ,SOFRAMYCIN 0.50% Drops,,8, SANS,,1P,   ____,9.51,9.51
2133040 ,SOLIAN 400mg Tablets,,60, SANS,,17,   ____,30.47,8.63
2127911 ,SOTALOL 160mg Tablets,,100, MYLN,,290,   ____,13.73,39.82
255335 ,STEMETIL 12.5mg/1ml Amps,,10, SANS,,5,   ____,28.39,14.20
2015250 ,TOFRANIL 25mg Tablets,,50, AFTP,,2P,   ____,9.68,19.36
2149532 ,TRAMAL 150mg SR Tablets,,20, CSLN,,1P,   ____,3.30,3.30
2343444 ,UREX 500mg Forte Tablets,,50, ASPN,,20,   ____,27.50,11.00
2377780 ,VEDAFIL 50mg Tablets,,4, MYLN,,2,   ____,0.83,0.42
2479435 ,VEXAZONE 15mg Tablets,,90, MYLN,,150,   ____,3.82,6.37
2472856 ,VIRGAN 0.15% Eye gel,,5, LINK,,2P,   ____,41.28,82.56
2439840 ,ZYPINE 10mg ODT Tablets,,28, MYLN,,22,   ____,3.36,2.64
