Changed database context to 'ToniqDatabase'.
Store Name,Stock Point,Brand,Generic Name,Strength,Pack Size,SOH,Pharmacode,w/s price,last sale
Life St. Lukes,LIFE-DISP,EMLA,Lidocaine+prilocaine,5%5x5g+dressngs,500,0.80000000000000004,657697,4950,2016-11-26 00:00:00.000
Unichem St. Lukes,UNICHEM-DISP,ERA,Erythromycin stearate,500mg,10000,0.68000000000000005,205311,4904,2016-10-06 00:00:00.000
Unichem St. Lukes,UNICHEM-DISP,SYMBICORT,Budesonide+eformoterol,400/12,6000,1.0,2228009,4849,2016-11-23 00:00:00.000
Unichem St. Lukes,UNICHEM-DISP,VESICARE,Solifenacin succinate,10mg,3000,0.59999999999999998,2208393,4125,2016-10-10 00:00:00.000
Unichem St. Lukes,UNICHEM-DISP,CREON 10000,Pancreatic enzyme,150mg,10000,0.69999999999999996,954322,3842,2016-11-14 00:00:00.000
Unichem St. Lukes,UNICHEM-DISP,lamiCTAL,lamOTRIGINE, 25mg Disp,5600,1.0,417866,3199,2015-09-12 00:00:00.000
Unichem St. Lukes,UNICHEM-DISP,toPAMAX,Topiramate, 25mg,6000,2.0,470988,2864,2016-12-08 00:00:00.000
Life St. Lukes,LIFE-DISP,BEZALIP,Bezafibrate,200mg,10000,2.0,474223,2855,2016-07-15 00:00:00.000
Unichem St. Lukes,UNICHEM-DISP,UREX,Furosemide,500mg Forte,5000,0.20000000000000001,2343444,2750,2016-10-31 00:00:00.000
Life St. Lukes,LIFE-DISP,SYRUP,Sucrose,BP 66.7% PF,200000,0.307,2140381,2393,2016-10-03 00:00:00.000
Unichem St. Lukes,UNICHEM-DISP,NUELIN,Theophylline,250mg SR,10000,0.55000000000000004,255149,2367,2016-10-13 00:00:00.000
Life St. Lukes,LIFE-DISP,coloXYL,Docusate Sodium, 50mg,50000,1.3999999999999999,252832,2337,2016-12-04 00:00:00.000
Unichem St. Lukes,UNICHEM-DISP,FLUANXOL,Flupenthixol decanoate, 40mg/2ml  2ml,500,0.80000000000000004,437301,2299,2016-10-01 00:00:00.000
Unichem St. Lukes,UNICHEM-DISP,HYDROCORTISONE,Hydrocortisone,20mg,10000,0.26000000000000001,205648,2235,2016-07-20 00:00:00.000
Unichem St. Lukes,UNICHEM-DISP,GLYCEROL HEALTHE,Glycerol,BP,200000,0.20000000000000001,2341018,1972,2016-01-24 00:00:00.000
Unichem St. Lukes,UNICHEM-DISP,ETHINYLOESTRADIOL,Ethinyloestradiol,10mcg PABYRN,10000,0.56999999999999995,264318,1936,2015-11-23 00:00:00.000
Life St. Lukes,LIFE-DISP,OXIS,Eformoterol fumarate,  6mcg/dose,6000,1.0,493740,1859,2016-09-17 00:00:00.000
Unichem St. Lukes,UNICHEM-DISP,OXIS,Eformoterol fumarate,  6mcg/dose,6000,1.0,493740,1859,2016-04-30 00:00:00.000
Unichem St. Lukes,UNICHEM-DISP,LOPRESOR,MetoPROLOL tartrate, 50mg,10000,7.0000000000000007E-2,680915,1760,2016-07-12 00:00:00.000
Unichem St. Lukes,UNICHEM-DISP,DAPSONE,Dapsone,100mg,2800,0.52000000000000002,712914,1699,2016-11-25 00:00:00.000
Life St. Lukes,LIFE-DISP,busPIRONE,busPIRONE,10mg,10000,0.59999999999999998,2095505,1646,2016-03-06 00:00:00.000
Life St. Lukes,LIFE-DISP,SUSTAGEN HF,Special Food,Choc,90000,4.0,789763,1639,2015-11-13 00:00:00.000
Life St. Lukes,LIFE-DISP,EPILIM,Sodium valproate,100mg,10000,2.3999999999999999,539724,1502,2016-11-15 00:00:00.000
Life St. Lukes,LIFE-DISP,ETIDRONATE ARROW,Etidronate disodium,200mg,10000,4.0000000000000001E-2,2341999,1485,2016-11-30 00:00:00.000
Unichem St. Lukes,UNICHEM-DISP,GOLD KNIGHT,Condoms,53mm Choc,14400,8.3333333333333301E-2,2287757,1470,2015-04-22 00:00:00.000
Life St. Lukes,LIFE-DISP,BD SYRINGE,Insulin syringe,1mlUFII31Gx8mm,10000,0.90000000000000002,2224224,1430,2015-07-25 00:00:00.000
Life St. Lukes,LIFE-DISP,LEVLEN ED,Levonorgestrel+ethinyloest.,,11200,1.0,439118,1386,2016-12-02 00:00:00.000
Life St. Lukes,LIFE-DISP,ESTROFEM,Estradiol,1mg,2800,3.0,258601,1221,2016-10-31 00:00:00.000
Life St. Lukes,LIFE-DISP,DONEPEZIL REX,Donepezil HCl,10mg,9000,0.66666666666666696,2349140,1156,2015-08-14 00:00:00.000
Unichem St. Lukes,UNICHEM-DISP,CALCITRIOL AFT,calciTRIol,0.25mcg,10000,1.0,2091038,1094,2016-09-28 00:00:00.000
Life St. Lukes,LIFE-DISP,DIPROSONE,Betamethasone diprop,0.05%,5000,6.0,210870,987,2016-11-08 00:00:00.000
Unichem St. Lukes,UNICHEM-DISP,APO-CLOMIPRAMINE,clomipRAMIne HCL,25mg,10000,1.3600000000000001,2289830,955,2016-12-02 00:00:00.000
Unichem St. Lukes,UNICHEM-DISP,SOFRAMYCIN,Framycetin sulfate,0.50%,800,1.0,254894,951,2016-02-05 00:00:00.000
Life St. Lukes,LIFE-DISP,DILZEM,Diltiazem HCL, 60mg,10000,0.69999999999999996,523836,935,2016-10-14 00:00:00.000
Life St. Lukes,LIFE-DISP,MADOPAR,Levodopa+benserazide, 62.5,10000,0.10000000000000001,201413,880,2016-01-01 00:00:00.000
Unichem St. Lukes,UNICHEM-DISP,MADOPAR,Levodopa+benserazide, 62.5,10000,2.1000000000000001,201413,880,2016-01-23 00:00:00.000
Life St. Lukes,LIFE-DISP,DYNACIRC SRO,Isradipine,5mg,3000,3.0,757861,864,2016-06-18 00:00:00.000
Unichem St. Lukes,UNICHEM-DISP,KEMADRIN,proCYCLIDine HCL,5mg,10000,1.3,264962,814,2016-11-05 00:00:00.000
Life St. Lukes,LIFE-DISP,ISOPTIN,Verapamil HCL, 40mg,10000,0.80000000000000004,253499,771,2016-05-09 00:00:00.000
Unichem St. Lukes,UNICHEM-DISP,OVESTIN,Oestriol,2mg,3000,0.90000000000000002,767476,770,2016-12-08 00:00:00.000
Unichem St. Lukes,UNICHEM-DISP,HIRUDOID,Heparinoid,0.3%,1400,1.0,272353,761,2016-08-30 00:00:00.000
Life St. Lukes,LIFE-DISP,Q 300,quINine sulphate,300mg,10000,5.6000000000000001E-2,393118,733,2016-11-23 00:00:00.000
Life St. Lukes,LIFE-DISP,LEVLEN ED,Levonorgestrel+ethinylest.,,8400,1.0,439118,731,2016-12-02 00:00:00.000
Life St. Lukes,LIFE-DISP,coUMADIN,Warfarin sodium,5mg,5000,0.20000000000000001,796832,652,2016-08-20 00:00:00.000
Life St. Lukes,LIFE-DISP,ADRENALINE,Adrenaline HCL,1:1000 1ml,500,1.0,603341,578,2016-11-20 00:00:00.000
Unichem St. Lukes,UNICHEM-DISP,NITRADOS,Nitrazepam,5mg,10000,1.0,269689,574,2016-11-06 00:00:00.000
Life St. Lukes,LIFE-DISP,DILZEM,Diltiazem HCL, 30mg,10000,2.21,668974,506,2016-09-18 00:00:00.000
Life St. Lukes,LIFE-DISP,PETHIDINE,Pethidine HCL, 50mg,1000,1.0,259942,491,2016-03-07 00:00:00.000
Unichem St. Lukes,UNICHEM-DISP,NILSTAT,Nystatin,Vag.,7500,1.0,254908,489,2016-10-22 00:00:00.000
Unichem St. Lukes,UNICHEM-DISP,CHLORHEXIDINE HEALTHE,Chlorhexidine gluconate,1% with 70% Eth,50000,1.0,2318679,472,2016-06-02 00:00:00.000
Unichem St. Lukes,UNICHEM-DISP,VOLTAREN,Diclofenac sodium, 50mg,1000,0.80000000000000004,747742,464,2016-10-14 00:00:00.000
Unichem St. Lukes,UNICHEM-DISP,MICREME,Miconazole nitrate,2%,4000,1.0,697648,434,2016-11-19 00:00:00.000
Life St. Lukes,LIFE-DISP,coUMADIN,Warfarin sodium,1mg,5000,6.5,796824,381,2016-08-20 00:00:00.000
Life St. Lukes,LIFE-DISP,DILZEM,Diltiazem HCL, 60mg,3000,0.69999999999999996,523836,280,2016-10-14 00:00:00.000
Life St. Lukes,LIFE-DISP,coloXYL,Docusate Sodium, 50mg,10000,1.3999999999999999,252832,254,2016-12-04 00:00:00.000
Life St. Lukes,LIFE-DISP,BD SYRINGE,Insulin syringe,1mlUFII31Gx8mm,1000,0.90000000000000002,2224224,218,2015-07-25 00:00:00.000
Life St. Lukes,LIFE-DISP,METHATABS,MethADONe HCL,5mg,1000,0.5,765503,203,2016-07-02 00:00:00.000
Life St. Lukes,LIFE-DISP,DILZEM,Diltiazem HCL, 30mg,3000,2.21,668974,148,2016-09-18 00:00:00.000
Unichem St. Lukes,UNICHEM-DISP,FORTISIP,Special Food,Vanilla, bottle,20000,18.0,2220822,139,2016-05-13 00:00:00.000
Unichem St. Lukes,UNICHEM-DISP,FORTISIP,Special Food,Choc, bottle,20000,24.0,2220830,139,2016-09-25 00:00:00.000
Unichem St. Lukes,UNICHEM-DISP,FORTISIP,Special Food,Chocolate,20000,24.0,2220830,123,2016-09-25 00:00:00.000
Unichem St. Lukes,UNICHEM-DISP,FORTISIP,Special Food,Vanilla,20000,18.0,2220822,123,2016-05-13 00:00:00.000
Unichem St. Lukes,UNICHEM-DISP,GOLD KNIGHT,Condoms,Choc,1200,8.3333333333333301E-2,2287757,122,2015-04-22 00:00:00.000

(77 rows affected)
